rider_name,rider_url,rider_number,team_name,team_url,rank,status,age,nationality,time,bonus,pcs_points,uci_points
MOSCHETTI Matteo,rider/matteo-moschetti,136,Q36.5 Pro Cycling Team,team/q365-pro-cycing-team-2025,158,DF,28,IT,4:06:32,0:00:00,0,0.0
VINE Jay,rider/jay-vine,207,UAE Team Emirates - XRG,team/uae-team-emirates-xrg-2025,159,DF,29,AU,4:06:32,0:00:00,0,0.0
JANSSENS Jimmy,rider/jimmy-janssens,14,Alpecin - Deceuninck,team/alpecin-deceuninck-2025,160,DF,35,BE,4:06:32,0:00:00,0,0.0
VAN DER HOORN Taco,rider/taco-van-der-hoorn,97,Intermarché - Wanty,team/intermarche-wanty-2025,161,DF,31,NL,4:06:32,0:00:00,0,0.0
BYSTRØM Sven Erik,rider/sven-erik-bystrom,72,Groupama - FDJ,team/groupama-fdj-2025,162,DF,33,NO,4:06:32,0:00:00,0,0.0
LIEPIŅŠ Emīls,rider/emils-liepins,135,Q36.5 Pro Cycling Team,team/q365-pro-cycing-team-2025,163,DF,32,LV,4:06:32,0:00:00,0,0.0
ČERNÝ Josef,rider/josef-cerny,143,Soudal Quick-Step,team/soudal-quick-step-2025,164,DF,32,CZ,4:06:56,0:00:00,0,0.0
KOOIJ Olav,rider/olav-kooij,184,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,165,DF,23,NL,4:07:00,0:00:00,0,0.0
GOVEKAR Matevž,rider/matevz-govekar,35,Bahrain - Victorious,team/bahrain-victorious-2025,166,DF,25,SI,4:07:00,0:00:00,0,0.0
ZIJLAARD Maikel,rider/maikel-zijlaard,198,Tudor Pro Cycling Team,team/tudor-pro-cycling-team-2025,167,DF,25,NL,4:07:00,0:00:00,0,0.0
TORRES Albert,rider/albert-torres,128,Movistar Team,team/movistar-team-2025,168,DF,35,ES,4:07:00,0:00:00,0,0.0
EULÁLIO Afonso,rider/afonso-eulalio,34,Bahrain - Victorious,team/bahrain-victorious-2025,169,DF,23,PT,4:07:00,0:00:00,0,0.0
MIHOLJEVIĆ Fran,rider/fran-miholjevic,36,Bahrain - Victorious,team/bahrain-victorious-2025,170,DF,22,HR,4:07:00,0:00:00,0,0.0
HAYTER Ethan,rider/ethan-hayter,145,Soudal Quick-Step,team/soudal-quick-step-2025,171,DF,26,GB,4:07:00,0:00:00,0,0.0
